"LYON ST EXUPERY, FR (FR069029001)"
Date,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW (Inches),SNWD (Inches)
1920-11-09,,42,39,0.00,,
1920-11-10,,44,39,0.00,,
1920-11-11,,41,37,0.00,,
1920-11-12,,41,34,0.00,,
1920-11-13,,44,36,0.00,,
1920-11-14,,56,33,0.00,,
1920-11-15,,63,28,0.00,,
1920-11-16,,61,33,0.02,,
1920-11-17,,53,47,0.01,,
1920-11-18,,48,41,0.00,,
1920-11-19,,45,39,0.00,,
1920-11-20,,45,38,3.54,,
1920-11-21,,38,33,0.00,,
1920-11-22,,37,23,0.00,,
1920-11-23,,31,21,0.00,,
1920-11-24,,47,23,0.00,,
1920-11-25,,56,32,0.00,,
1920-11-26,,56,36,0.00,,
1920-11-27,,60,35,0.00,,
1920-11-28,,47,41,1.08,,
1920-11-29,,48,37,0.02,,
1920-11-30,,53,33,0.00,,
1920-12-01,,49,35,0.03,,
1920-12-02,,46,33,0.00,,
1920-12-03,,56,42,0.02,,
1920-12-04,,42,40,0.05,,
1920-12-05,,41,36,0.00,,
1920-12-06,,40,35,0.00,,
1920-12-07,,40,36,0.00,,
1920-12-08,,39,35,0.00,,
1920-12-09,,38,36,0.00,,
1920-12-10,,40,35,0.00,,
1920-12-11,,35,32,0.00,,
1920-12-12,,31,28,0.00,,
1920-12-13,,38,29,0.00,,
1920-12-14,,35,26,0.00,,
1920-12-15,,35,,0.00,,
1920-12-16,,,19,0.00,,
1920-12-17,,20,14,0.00,,
1920-12-18,,21,10,0.00,,
1920-12-19,,25,14,0.00,,
1920-12-20,,24,12,0.00,,
1920-12-21,,34,16,0.00,,
1920-12-22,,44,23,0.02,,
1920-12-23,,46,31,0.02,,
1920-12-24,,51,32,0.00,,
1920-12-25,,54,28,0.00,,
1920-12-26,,56,34,0.00,,
1920-12-27,,56,42,0.00,,
1920-12-28,,50,39,0.02,,
1920-12-29,,67,43,0.00,,
1920-12-30,,57,39,0.00,,
1920-12-31,,55,38,0.00,,
1921-01-01,,58,34,0.00,,
1921-01-02,,54,35,0.01,,
1921-01-03,,48,41,0.00,,
1921-01-04,,45,35,0.00,,
1921-01-05,,51,32,0.00,,
1921-01-06,,50,33,0.00,,
1921-01-07,,43,36,0.00,,
1921-01-08,,44,33,0.02,,
1921-01-09,,47,34,0.00,,
1921-01-10,,50,37,0.00,,
1921-01-11,,53,39,0.00,,
1921-01-12,,55,42,0.00,,
1921-01-13,,54,43,0.03,,
1921-01-14,,47,35,0.00,,
1921-01-15,,37,29,0.00,,
1921-01-16,,36,28,0.00,,
1921-01-17,,38,23,0.00,,
1921-01-18,,50,23,0.02,,
1921-01-19,,43,33,0.00,,
1921-01-20,,44,35,0.00,,
1921-01-21,,47,33,0.00,,
1921-01-22,,56,32,0.00,,
1921-01-23,,46,33,0.00,,
1921-01-24,,51,37,0.00,,
1921-01-25,,52,38,0.00,,
1921-01-26,,49,36,0.00,,
1921-01-27,,48,36,0.02,,
1921-01-28,,46,32,0.00,,
1921-01-29,,40,31,0.00,,
1921-01-30,,55,26,0.06,,
1921-01-31,,55,36,0.06,,
1921-02-01,,44,33,0.00,,
1921-02-02,,49,30,0.02,,
1921-02-03,,44,29,0.01,,
1921-02-04,,34,29,0.00,,
1921-02-05,,35,24,0.00,,
1921-02-06,,34,27,0.00,,
1921-02-07,,36,28,0.00,,
1921-02-08,,35,33,0.00,,
1921-02-09,,37,34,0.00,,
1921-02-10,,38,34,0.00,,
1921-02-11,,42,32,0.00,,
1921-02-12,,37,27,0.00,,
1921-02-13,,45,26,0.00,,
1921-02-14,,42,22,0.00,,
1921-02-15,,46,23,0.00,,
1921-02-16,,49,26,0.00,,
1921-02-17,,52,18,0.00,,
1921-02-18,,46,29,0.00,,
1921-02-19,,50,23,0.00,,
1921-02-20,,56,22,0.00,,
1921-02-21,,59,26,0.00,,
1921-02-22,,62,30,0.00,,
1921-02-23,,59,28,0.00,,
1921-02-24,,58,28,0.00,,
1921-02-25,,60,30,0.00,,
1921-02-26,,55,25,0.00,,
1921-02-27,,50,27,0.00,,
1921-02-28,,48,25,0.00,,
1921-03-01,,52,22,0.00,,
1921-03-02,,63,23,0.00,,
1921-03-03,,51,28,0.00,,
1921-03-04,,54,27,0.00,,
1921-03-05,,61,24,0.00,,
1921-03-06,,58,29,0.00,,
1921-03-07,,47,41,0.00,,
1921-03-08,,47,31,0.00,,
1921-03-09,,48,25,0.00,,
1921-03-10,,59,24,0.00,,
1921-03-11,,59,37,0.00,,
1921-03-12,,60,30,0.00,,
1921-03-13,,60,33,0.00,,
1921-03-14,,63,37,0.00,,
1921-03-15,,54,44,0.03,,
1921-03-16,,61,35,0.03,,
1921-03-17,,66,32,0.03,,
1921-03-18,,64,36,0.01,,
1921-03-19,,44,40,0.04,,
1921-03-20,,49,31,0.02,,
1921-03-21,,49,35,0.02,,
1921-03-22,,55,33,0.02,,
1921-03-23,,61,30,0.02,,
1921-03-24,,68,33,0.02,,
1921-03-25,,64,35,0.02,,
1921-03-26,,57,41,0.01,,
1921-03-27,,51,42,0.01,,
1921-03-28,,54,31,0.01,,
1921-03-29,,56,28,0.01,,
1921-03-30,,53,35,0.00,,
1921-03-31,,59,33,0.00,,
1921-04-01,,62,36,0.00,,
1921-04-02,,67,36,0.00,,
1921-04-03,,69,39,0.00,,
1921-04-04,,66,45,0.00,,
1921-04-05,,55,48,0.00,,
1921-04-06,,56,40,0.00,,
1921-04-07,,49,37,0.01,,
1921-04-08,,55,36,0.00,,
1921-04-09,,48,36,0.00,,
1921-04-10,,65,31,0.00,,
1921-04-11,,72,37,0.00,,
1921-04-12,,72,47,0.00,,
1921-04-13,,71,43,0.00,,
1921-04-14,,68,43,0.00,,
1921-04-15,,48,38,0.00,,
1921-04-16,,44,32,0.00,,
1921-04-17,,47,27,0.03,,
1921-04-18,,50,37,0.13,,
1921-04-19,,51,38,0.00,,
1921-04-20,,54,34,0.00,,
1921-04-21,,55,32,0.00,,
1921-04-22,,56,32,0.00,,
1921-04-23,,58,31,0.25,,
1921-04-24,,49,43,0.04,,
1921-04-25,,57,41,0.00,,
1921-04-26,,61,37,0.00,,
1921-04-27,,72,37,0.00,,
1921-04-28,,70,40,0.00,,
1921-04-29,,63,44,0.00,,
1921-04-30,,63,43,0.00,,
1921-05-01,,67,40,0.00,,
1921-05-02,,62,45,0.00,,
1921-05-03,,63,38,0.13,,
1921-05-04,,64,42,0.01,,
1921-05-05,,56,46,0.00,,
1921-05-06,,63,33,0.00,,
1921-05-07,,74,36,0.00,,
1921-05-08,,54,50,0.03,,
1921-05-09,,61,47,0.00,,
1921-05-10,,69,46,0.00,,
1921-05-11,,74,44,0.00,,
1921-05-12,,73,53,0.00,,
1921-05-13,,71,55,0.00,,
1921-05-14,,72,54,0.00,,
1921-05-15,,70,58,0.36,,
1921-05-16,,71,48,0.00,,
1921-05-17,,68,58,0.02,,
1921-05-18,,75,58,0.00,,
1921-05-19,,66,49,0.02,,
1921-05-20,,76,58,0.00,,
1921-05-21,,77,54,0.00,,
1921-05-22,,79,55,0.08,,
1921-05-23,,80,58,0.00,,
1921-05-24,,80,54,0.00,,
1921-05-25,,84,51,0.00,,
1921-05-26,,81,56,0.00,,
1921-05-27,,73,,2.92,,
1921-05-28,,,53,0.00,,
1921-05-29,,66,39,0.00,,
1921-05-30,,71,51,0.00,,
1921-05-31,,72,49,0.00,,
1921-06-01,,76,53,0.00,,
1921-06-02,,81,57,0.00,,
1921-06-03,,84,56,0.00,,
1921-06-04,,85,58,0.00,,
1921-06-05,,81,57,0.08,,
1921-06-06,,79,54,0.00,,
1921-06-07,,80,58,1.85,,
1921-06-08,,80,58,0.00,,
1921-06-09,,73,63,0.00,,
1921-06-10,,69,57,0.00,,
1921-06-11,,72,50,0.00,,
1921-06-12,,71,52,0.00,,
1921-06-13,,77,49,0.00,,
1921-06-14,,67,57,0.00,,
1921-06-15,,70,48,0.00,,
1921-06-16,,76,48,0.00,,
1921-06-17,,79,48,0.00,,
1921-06-18,,81,50,0.00,,
1921-06-19,,67,56,0.12,,
1921-06-20,,67,45,0.00,,
1921-06-21,,67,43,0.00,,
1921-06-22,,67,47,0.00,,
1921-06-23,,74,46,0.00,,
1921-06-24,,81,51,0.00,,
1921-06-25,,87,53,0.00,,
1921-06-26,,86,62,0.00,,
1921-06-27,,89,61,0.00,,
1921-06-28,,92,60,0.00,,
1921-06-29,,91,59,0.00,,
1921-06-30,,82,58,0.12,,
1921-07-01,,75,58,0.00,,
1921-07-02,,80,56,0.00,,
1921-07-03,,75,55,0.00,,
1921-07-04,,77,51,0.00,,
1921-07-05,,79,50,0.00,,
1921-07-06,,81,49,0.00,,
1921-07-07,,77,52,0.00,,
1921-07-08,,79,58,0.00,,
1921-07-09,,84,55,0.00,,
1921-07-10,,87,53,0.00,,
1921-07-11,,94,56,0.00,,
1921-07-12,,98,60,0.00,,
1921-07-13,,97,62,0.00,,
1921-07-14,,92,67,0.00,,
1921-07-15,,96,60,0.00,,
1921-07-16,,82,69,0.00,,
1921-07-17,,92,58,0.00,,
1921-07-18,,83,65,0.00,,
1921-07-19,,83,57,0.00,,
1921-07-20,,87,62,0.00,,
1921-07-21,,91,64,0.00,,
1921-07-22,,90,65,0.00,,
1921-07-23,,96,59,0.00,,
1921-07-24,,94,62,0.00,,
1921-07-25,,96,63,0.00,,
1921-07-26,,100,72,0.00,,
1921-07-27,,101,63,0.00,,
1921-07-28,,101,69,0.00,,
1921-07-29,,81,65,0.00,,
1921-07-30,,85,54,0.00,,
1921-07-31,,91,58,0.00,,
1921-08-01,,92,58,0.00,,
1921-08-02,,101,58,0.00,,
1921-08-03,,84,54,0.00,,
1921-08-04,,78,51,0.00,,
1921-08-05,,86,52,0.00,,
1921-08-06,,98,58,0.00,,
1921-08-07,,92,65,0.00,,
1921-08-08,,92,63,0.00,,
1921-08-09,,90,60,0.00,,
1921-08-10,,98,63,0.31,,
1921-08-11,,69,62,0.71,,
1921-08-12,,68,57,0.00,,
1921-08-13,,74,53,0.20,,
1921-08-14,,69,57,0.01,,
1921-08-15,,67,57,0.02,,
1921-08-16,,76,49,0.00,,
1921-08-17,,80,49,0.02,,
1921-08-18,,72,59,0.00,,
1921-08-19,,65,59,2.05,,
1921-08-20,,72,58,0.04,,
1921-08-21,,77,58,0.08,,
1921-08-22,,76,55,0.47,,
1921-08-23,,73,49,0.00,,
1921-08-24,,62,52,0.28,,
1921-08-25,,63,54,0.02,,
1921-08-26,,70,55,0.00,,
1921-08-27,,76,53,0.00,,
1921-08-28,,85,54,0.00,,
1921-08-29,,86,59,0.00,,
1921-08-30,,69,63,0.00,,
1921-08-31,,72,48,0.00,,
1921-09-01,,84,48,0.00,,
1921-09-02,,80,55,0.00,,
1921-09-03,,80,58,0.75,,
1921-09-04,,73,61,0.35,,
1921-09-05,,70,59,0.00,,
1921-09-06,,74,56,0.00,,
1921-09-07,,78,50,0.00,,
1921-09-08,,83,54,0.00,,
1921-09-09,,72,56,0.12,,
1921-09-10,,81,60,0.01,,
1921-09-11,,81,56,0.03,,
1921-09-12,,73,64,0.00,,
1921-09-13,,74,50,0.00,,
1921-09-14,,85,49,0.00,,
1921-09-15,,83,55,0.00,,
1921-09-16,,85,58,0.00,,
1921-09-17,,81,61,0.31,,
1921-09-18,,83,63,0.00,,
1921-09-19,,78,54,0.00,,
1921-09-20,,83,56,0.00,,
1921-09-21,,75,61,0.12,,
1921-09-22,,70,61,0.00,,
1921-09-23,,73,57,0.00,,
1921-09-24,,79,48,0.00,,
1921-09-25,,75,49,0.00,,
1921-09-26,,70,50,0.00,,
1921-09-27,,70,48,0.00,,
1921-09-28,,68,41,0.00,,
1921-09-29,,66,38,0.00,,
1921-09-30,,71,37,0.00,,
1921-10-01,,75,39,0.00,,
1921-10-02,,79,41,0.00,,
1921-10-03,,80,53,0.00,,
1921-10-04,,82,58,0.00,,
1921-10-05,,79,50,0.00,,
1921-10-06,,80,60,0.00,,
1921-10-07,,81,49,0.00,,
1921-10-08,,81,47,0.00,,
1921-10-09,,78,47,0.00,,
1921-10-10,,80,58,0.00,,
1921-10-11,,80,59,0.00,,
1921-10-12,,79,53,0.00,,
1921-10-13,,80,50,0.00,,
1921-10-14,,74,47,0.00,,
1921-10-15,,72,53,0.00,,
1921-10-16,,69,45,0.00,,
1921-10-17,,78,46,0.00,,
1921-10-18,,80,42,0.00,,
1921-10-19,,81,42,0.00,,
1921-10-20,,77,42,0.00,,
1921-10-21,,77,44,0.00,,
1921-10-22,,75,49,0.12,,
1921-10-23,,66,51,0.08,,
1921-10-24,,51,40,0.00,,
1921-10-25,,49,35,0.00,,
1921-10-26,,49,33,0.00,,
1921-10-27,,55,30,0.00,,
1921-10-28,,55,32,0.00,,
1921-10-29,,52,45,0.00,,
1921-10-30,,55,45,0.00,,
1921-10-31,,58,34,0.00,,
1921-11-01,,62,26,0.00,,
1921-11-02,,59,39,0.02,,
1921-11-03,,58,42,0.12,,
1921-11-04,,61,53,0.16,,
1921-11-05,,60,47,0.01,,
1921-11-06,,58,49,0.12,,
1921-11-07,,54,34,0.00,,
1921-11-08,,41,24,0.00,,
1921-11-09,,38,28,0.00,,
1921-11-10,,36,28,0.00,,
1921-11-11,,34,25,0.00,,
1921-11-12,,42,20,0.00,,
1921-11-13,,37,20,0.00,,
1921-11-14,,48,20,0.00,,
1921-11-15,,54,22,0.00,,
1921-11-16,,45,23,0.00,,
1921-11-17,,37,23,0.00,,
1921-11-18,,41,26,0.00,,
1921-11-19,,45,25,0.00,,
1921-11-20,,35,24,0.00,,
1921-11-21,,36,28,0.00,,
1921-11-22,,37,30,0.00,,
1921-11-23,,37,26,0.00,,
1921-11-24,,54,22,0.00,,
1921-11-25,,48,23,0.00,,
1921-11-26,,43,22,0.51,,
1921-11-27,,44,31,0.12,,
1921-11-28,,37,34,0.00,,
1921-11-29,,34,30,0.00,,
1921-11-30,,52,28,0.00,,
1921-12-01,,45,29,0.02,,
1921-12-02,,46,38,0.02,,
1921-12-03,,42,30,0.00,,
1921-12-04,,34,24,0.00,,
1921-12-05,,33,23,0.00,,
1921-12-06,,35,25,0.00,,
1921-12-07,,38,21,0.00,,
1921-12-08,,43,22,0.00,,
1921-12-09,,47,29,0.00,,
1921-12-10,,51,39,0.00,,
1921-12-11,,46,41,0.00,,
1921-12-12,,58,,0.00,,
1921-12-13,,,26,0.00,,
1921-12-14,,30,22,0.00,,
1921-12-15,,35,19,0.00,,
1921-12-16,,31,19,0.00,,
1921-12-17,,,19,0.00,,
1921-12-18,,60,,0.00,,
1921-12-19,,54,34,0.05,,
1921-12-20,,41,31,0.01,,
1921-12-21,,49,31,0.00,,
1921-12-22,,36,29,0.00,,
1921-12-23,,53,33,0.00,,
1921-12-24,,40,32,0.00,,
1921-12-25,,38,31,0.29,,
1921-12-26,,39,32,0.00,,
1921-12-27,,41,32,0.12,,
1921-12-28,,53,34,0.00,,
1921-12-29,,53,40,0.00,,
1921-12-30,,46,34,0.06,,
1921-12-31,,47,31,0.01,,
1922-01-01,,39,28,0.00,,
1922-01-02,,48,27,0.45,,
1922-01-03,,45,36,0.24,,
1922-01-04,,34,30,0.04,,
1922-01-05,,34,30,0.54,,
1922-01-06,,34,28,0.37,,
1922-01-07,,30,25,0.08,,
1922-01-08,,36,0,0.63,,
1922-01-09,,43,23,0.00,,
1922-01-10,,39,33,0.03,,
1922-01-11,,40,33,0.02,,
1922-01-12,,39,33,0.10,,
1922-01-13,,35,31,0.01,,
1922-01-14,,34,20,0.00,,
1922-01-15,,35,19,0.03,,
1922-01-16,,41,19,0.04,,
1922-01-17,,35,33,0.85,,
1922-01-18,,34,32,0.00,,
1922-01-19,,37,29,0.00,,
1922-01-20,,34,19,0.14,,
1922-01-21,,38,27,0.00,,
1922-01-22,,35,32,0.00,,
1922-01-23,,39,29,0.00,,
1922-01-24,,47,25,0.16,,
1922-01-25,,46,25,0.10,,
1922-01-26,,51,29,0.00,,
1922-01-27,,47,28,0.17,,
1922-01-28,,48,27,0.03,,
1922-01-29,,49,35,0.07,,
1922-01-30,,57,34,1.00,,
1922-01-31,,47,42,0.20,,
1922-02-01,,47,40,0.05,,
1922-02-02,,46,33,0.31,,
1922-02-03,,54,33,0.03,,
1922-02-04,,53,40,0.00,,
1922-02-05,,50,,0.00,,
1922-02-06,,,17,0.00,,
1922-02-07,,31,15,0.00,,
1922-02-08,,32,11,0.00,,
1922-02-09,,45,11,0.00,,
1922-02-10,,49,16,0.00,,
1922-02-11,,38,19,0.00,,
1922-02-12,,44,24,0.02,,
1922-02-13,,46,25,0.06,,
1922-02-14,,53,34,0.00,,
1922-02-15,,45,32,0.00,,
1922-02-16,,39,29,0.29,,
1922-02-17,,54,31,0.00,,
1922-02-18,,54,26,0.06,,
1922-02-19,,46,27,0.00,,
1922-02-20,,45,36,0.15,,
1922-02-21,,50,28,0.89,,
1922-02-22,,49,27,0.00,,
1922-02-23,,51,29,0.01,,
1922-02-24,,59,30,0.00,,
1922-02-25,,65,29,0.00,,
1922-02-26,,66,30,0.04,,
1922-02-27,,60,34,0.02,,
1922-02-28,,67,44,0.00,,
1922-03-01,,63,49,0.08,,
1922-03-02,,50,42,0.03,,
1922-03-03,,55,40,0.00,,
1922-03-04,,65,36,0.00,,
1922-03-05,,68,36,0.00,,
1922-03-06,,66,38,0.00,,
1922-03-07,,58,43,0.15,,
1922-03-08,,54,37,0.06,,
1922-03-09,,44,42,1.38,,
1922-03-10,,54,37,0.00,,
1922-03-11,,46,34,0.01,,
1922-03-12,,54,35,0.00,,
1922-03-13,,57,37,0.00,,
1922-03-14,,68,38,0.00,,
1922-03-15,,66,38,0.00,,
1922-03-16,,58,38,0.00,,
1922-03-17,,65,32,0.00,,
1922-03-18,,68,32,0.00,,
1922-03-19,,62,35,0.01,,
1922-03-20,,54,,0.46,,
1922-03-21,,,38,0.21,,
1922-03-22,,38,32,0.13,,
1922-03-23,,33,31,0.04,,
1922-03-24,,38,29,0.00,,
1922-03-25,,41,28,0.00,,
1922-03-26,,50,31,0.08,,
1922-03-27,,46,34,0.06,,
1922-03-28,,49,33,0.02,,
1922-03-29,,47,33,0.01,,
1922-03-30,,46,31,0.00,,
1922-03-31,,48,30,0.09,,
1922-04-01,,54,35,0.51,,
1922-04-02,,53,40,0.13,,
1922-04-03,,59,42,0.06,,
1922-04-04,,52,46,0.04,,
1922-04-05,,52,32,0.00,,
1922-04-06,,56,36,0.00,,
1922-04-07,,54,37,0.53,,
1922-04-08,,62,41,0.21,,
1922-04-09,,49,43,0.04,,
1922-04-10,,52,38,0.43,,
1922-04-11,,59,40,0.09,,
1922-04-12,,65,45,0.00,,
1922-04-13,,70,49,0.00,,
1922-04-14,,70,53,0.00,,
1922-04-15,,76,,0.94,,
1922-04-16,,,43,0.06,,
1922-04-17,,46,39,0.12,,
1922-04-18,,39,37,0.19,,
1922-04-19,,44,35,0.20,,
1922-04-20,,51,38,0.00,,
1922-04-21,,56,36,0.04,,
1922-04-22,,50,41,0.09,,
1922-04-23,,56,39,0.01,,
1922-04-24,,54,39,0.28,,
1922-04-25,,54,39,0.20,,
1922-04-26,,54,40,0.07,,
1922-04-27,,57,40,0.00,,
1922-04-28,,59,36,0.09,,
1922-04-29,,55,32,0.58,,
1922-04-30,,47,38,0.06,,
1922-05-01,,56,33,0.00,,
1922-05-02,,54,40,0.37,,
1922-05-03,,57,36,0.02,,
1922-05-04,,61,41,0.00,,
1922-05-05,,65,47,0.00,,
1922-05-06,,66,39,0.00,,
1922-05-07,,73,39,0.00,,
1922-05-08,,75,42,0.00,,
1922-05-09,,77,44,0.00,,
1922-05-10,,78,46,0.00,,
1922-05-11,,82,49,0.07,,
1922-05-12,,75,58,0.13,,
1922-05-13,,57,51,0.00,,
1922-05-14,,64,41,0.00,,
1922-05-15,,65,44,0.00,,
1922-05-16,,74,48,0.00,,
1922-05-17,,72,55,0.07,,
1922-05-18,,72,57,0.00,,
1922-05-19,,73,50,0.00,,
1922-05-20,,76,47,0.00,,
1922-05-21,,85,49,0.00,,
1922-05-22,,87,51,0.00,,
1922-05-23,,86,52,0.00,,
1922-05-24,,89,51,0.00,,
1922-05-25,,90,53,0.00,,
1922-05-26,,85,64,0.00,,
1922-05-27,,80,57,0.00,,
1922-05-28,,81,55,0.00,,
1922-05-29,,82,53,0.00,,
1922-05-30,,82,51,0.00,,
1922-05-31,,86,49,0.00,,
1922-06-01,,84,55,0.00,,
1922-06-02,,78,57,0.01,,
1922-06-03,,83,51,0.00,,
1922-06-04,,81,54,0.00,,
1922-06-05,,87,55,0.00,,
1922-06-06,,87,60,0.09,,
1922-06-07,,86,59,0.45,,
1922-06-08,,76,50,0.07,,
1922-06-09,,75,56,0.26,,
1922-06-10,,72,62,0.03,,
1922-06-11,,71,55,0.02,,
1922-06-12,,73,53,0.00,,
1922-06-13,,71,51,0.00,,
1922-06-14,,68,57,0.16,,
1922-06-15,,56,51,0.50,,
1922-06-16,,73,48,0.00,,
1922-06-17,,74,47,0.12,,
1922-06-18,,64,56,0.00,,
1922-06-19,,69,48,0.00,,
1922-06-20,,77,51,0.00,,
1922-06-21,,82,56,0.00,,
1922-06-22,,81,60,0.06,,
1922-06-23,,80,57,0.00,,
1922-06-24,,76,51,0.00,,
1922-06-25,,79,56,0.06,,
1922-06-26,,67,57,0.00,,
1922-06-27,,76,57,0.00,,
1922-06-28,,85,50,0.00,,
1922-06-29,,77,62,0.11,,
1922-06-30,,71,46,0.00,,
1922-07-01,,79,44,0.00,,
1922-07-02,,81,49,0.16,,
1922-07-03,,86,56,0.00,,
1922-07-04,,89,58,0.00,,
1922-07-05,,89,62,0.00,,
1922-07-06,,86,66,0.40,,
1922-07-07,,71,51,0.00,,
1922-07-08,,87,49,0.61,,
1922-07-09,,72,53,0.00,,
1922-07-10,,74,49,0.00,,
1922-07-11,,65,56,0.17,,
1922-07-12,,66,58,0.17,,
1922-07-13,,73,51,0.00,,
1922-07-14,,73,55,1.11,,
1922-07-15,,65,58,0.49,,
1922-07-16,,66,50,0.00,,
1922-07-17,,65,53,0.00,,
1922-07-18,,71,43,0.00,,
1922-07-19,,69,51,0.00,,
1922-07-20,,75,48,0.00,,
1922-07-21,,84,53,0.00,,
1922-07-22,,87,62,0.06,,
1922-07-23,,73,61,0.26,,
1922-07-24,,70,55,0.44,,
1922-07-25,,68,56,0.05,,
1922-07-26,,73,47,0.00,,
1922-07-27,,80,49,0.13,,
1922-07-28,,70,60,0.18,,
1922-07-29,,75,54,0.00,,
1922-07-30,,85,49,0.00,,
1922-07-31,,88,56,0.00,,
1922-08-01,,83,66,1.35,,
1922-08-02,,72,58,0.00,,
1922-08-03,,72,51,0.00,,
1922-08-04,,78,51,0.00,,
1922-08-05,,72,56,0.01,,
1922-08-06,,83,54,0.22,,
1922-08-07,,81,61,0.00,,
1922-08-08,,81,63,0.47,,
1922-08-09,,76,52,0.00,,
1922-08-10,,75,53,0.00,,
1922-08-11,,74,52,0.00,,
1922-08-12,,77,52,0.00,,
1922-08-13,,87,50,0.00,,
1922-08-14,,94,59,0.39,,
1922-08-15,,64,56,0.35,,
1922-08-16,,69,49,0.00,,
1922-08-17,,79,45,0.00,,
1922-08-18,,74,50,0.00,,
1922-08-19,,72,51,0.00,,
1922-08-20,,77,47,0.00,,
1922-08-21,,88,53,0.04,,
1922-08-22,,81,60,0.00,,
1922-08-23,,71,59,0.13,,
1922-08-24,,68,53,0.00,,
1922-08-25,,76,43,0.00,,
1922-08-26,,71,50,0.00,,
1922-08-27,,85,41,0.00,,
1922-08-28,,82,51,0.00,,
1922-08-29,,81,54,0.84,,
1922-08-30,,75,59,0.00,,
1922-08-31,,63,59,1.36,,
1922-09-01,,68,51,0.10,,
1922-09-02,,67,51,0.00,,
1922-09-03,,61,51,0.00,,
1922-09-04,,67,52,0.00,,
1922-09-05,,65,50,0.00,,
1922-09-06,,68,48,0.00,,
1922-09-07,,66,47,0.00,,
1922-09-08,,65,44,0.00,,
1922-09-09,,62,46,0.00,,
1922-09-10,,62,46,0.00,,
1922-09-11,,63,34,0.15,,
1922-09-12,,61,42,0.16,,
1922-09-13,,64,47,0.29,,
1922-09-14,,66,51,0.02,,
1922-09-15,,61,50,0.35,,
1922-09-16,,63,49,0.00,,
1922-09-17,,69,37,0.01,,
1922-09-18,,68,43,0.00,,
1922-09-19,,65,47,0.00,,
1922-09-20,,72,40,0.00,,
1922-09-21,,75,44,0.00,,
1922-09-22,,81,49,0.00,,
1922-09-23,,81,46,0.00,,
1922-09-24,,71,53,0.00,,
1922-09-25,,71,54,0.00,,
1922-09-26,,75,47,0.46,,
1922-09-27,,58,50,1.26,,
1922-09-28,,59,46,0.50,,
1922-09-29,,64,53,0.01,,
1922-09-30,,58,42,0.00,,
1922-10-01,,63,38,0.00,,
1922-10-02,,68,44,0.00,,
1922-10-03,,69,50,0.00,,
1922-10-04,,73,47,0.00,,
1922-10-05,,69,42,0.52,,
1922-10-06,,62,47,0.34,,
