"temperature" "jour" "ventes"
18.4 "D" 29752
10.9 "D" 22488
16.2 "J" 14729
18.3 "Me" 15942
23.5 "Ma" 21761
29.9 "Ma" 25935
17.2 "Me" 15723
20.9 "Ma" 32268
20.4 "L" 18082
14.5 "Me" 13715
18.8 "S" 23635
21.3 "S" 26429
22.6 "Ma" 18936
17.4 "V" 18268
15.3 "L" 14847
22.8 "Me" 20513
15.7 "L" 16962
12.2 "J" 14212
16.8 "D" 28796
18.2 "Me" 16837
17 "L" 16547
17 "D" 28855
15.3 "V" 16690
21.2 "Me" 19383
19.3 "L" 19637
14.5 "Ma" 15627
13.2 "Ma" 15048
23 "D" 33638
18.2 "S" 23107
19 "S" 24100
18.3 "Ma" 16717
21.7 "V" 20725
16.2 "Me" 14512
18.3 "S" 23750
18.3 "J" 19655
22.3 "J" 19365
13.4 "S" 20254
28 "S" 31480
10.4 "L" 12694
16.7 "L" 17634
26.3 "Ma" 21790
30.1 "J" 24224
15 "Me" 14076
22.7 "Ma" 19966
19.2 "S" 24791
12.4 "D" 22134
12.5 "Me" 14054
21.4 "Me" 19890
22.5 "L" 34935
29 "V" 24612
19.4 "Me" 16058
16.3 "D" 28336
17.2 "S" 23655
16.7 "D" 28171
24.4 "Ma" 20872
20.8 "J" 19329
17.3 "Me" 16573
24.8 "D" 37255
14.9 "Me" 15536
18.3 "V" 17313
23.6 "L" 20755
19.7 "V" 18240
29.8 "J" 24519
22.3 "Ma" 19471
22.4 "J" 18775
22.7 "D" 34206
16.9 "Ma" 17020
17.3 "D" 26324
19 "V" 18120
23 "V" 19928
19.1 "J" 15950
17 "D" 27163
11.3 "D" 24306
18.3 "Me" 16062
16.6 "J" 15907
16.6 "V" 14302
21 "J" 17815
13.7 "D" 25044
22.5 "J" 19627
27.6 "L" 24396
16.9 "L" 17537
38 "D" 52603
26.1 "Ma" 21775
30 "Ma" 24450
23.5 "D" 34367
17 "J" 16247
20.3 "J" 16952
11.5 "S" 20652
12.1 "J" 14869
17.5 "L" 14786
27.8 "D" 39378
17.1 "S" 23253
15.7 "V" 16483
18.3 "J" 18521
26.2 "Me" 21353
28.4 "D" 40169
19.8 "V" 18133
21.1 "V" 18610
16.4 "J" 15778
27.4 "Me" 22396
13.1 "L" 16055
21.5 "Ma" 16719
25.5 "Me" 21832
25.2 "S" 30384
17 "Ma" 15003
14.6 "L" 17192
17.4 "S" 22712
13.1 "D" 23600
27.9 "Me" 23470
21.9 "J" 17440
21.6 "L" 19532
30.5 "L" 24634
16.9 "D" 29641
20.7 "J" 19029
15 "V" 17063
16.1 "Me" 16440
19.3 "Ma" 17876
18.4 "J" 17640
22.1 "J" 20039
13 "Ma" 14669
8.2 "S" 17593
20.6 "Ma" 17313
19.9 "Me" 17429
11.9 "L" 12277
17.5 "Ma" 16669
26.1 "J" 21182
18.9 "S" 26169
27 "D" 38592
16.5 "V" 17319
26.1 "V" 22345
29.9 "V" 24750
22.1 "Me" 19089
13.8 "V" 14667
31.3 "L" 44094
11.1 "D" 21992
14.8 "V" 15394
20.1 "L" 17589
21.3 "J" 18141
14.2 "Me" 14460
18.6 "V" 15445
21.8 "L" 18402
18.8 "Me" 18442
22.2 "L" 19086
22 "S" 26534
17.5 "S" 23558
20.8 "L" 18894
26.8 "L" 23137
19.3 "D" 31230
18.8 "V" 16837
19.6 "V" 17193
25.1 "Ma" 21217
16.9 "Me" 16586
